Timestep,l_0.0001,l_0.001,l_0.01,l_0.05
256,-185.897998,-622.6064257,-371.1584826,-456.6072819
257,-284.5190131,-622.6064262,-367.1728524,-462.6109052
258,-390.9832977,-622.6064262,-461.6746243,-597.293792
259,-413.6057328,-613.5954476,-482.208785,-760.354687
260,-399.5531681,-462.5304904,-485.2976301,-798.1008832
261,-421.7023313,-486.8935704,-333.2189713,-610.7303752
262,-410.6815806,-581.5759388,-318.1392846,-616.2283886
263,-407.7876466,-582.0883759,-307.0638651,-603.2919489
264,-282.2579128,-567.8787631,-339.1650164,-632.5682703
265,-1097.36307,-560.8538048,-312.0615439,-629.5669495
266,-948.9740487,-591.1395347,-304.0606739,-626.6315677
267,-953.2267375,-575.2305474,-301.4723126,-651.7668928
268,-943.2270453,-571.2304278,-292.1783333,-642.3842145
269,-943.2533938,-803.3673774,-292.1769822,-640.3868327
270,-896.8677478,-790.3278609,-301.2524626,-640.3866805
271,-1034.033628,-623.273393,-315.6408838,-407.5602627
272,-1194.038287,-810.3280226,-300.5065174,-403.6068171
273,-1189.245194,-791.2684703,-321.7646147,-428.454333
274,-1196.80925,-791.5635565,-494.7993014,-443.5578561
275,-1175.809192,-759.6212531,-513.5544862,-430.6134407
276,-1195.353816,-668.292354,-484.5544356,-418.4137733
277,-1190.920692,-594.0439104,-329.3852228,-421.2669019
278,-1189.470458,-582.1467764,-468.2092049,-431.748727
279,-1185.353263,-582.3258426,-453.6475452,-395.5856593
280,-1182.02656,-770.9130602,-448.6459829,-412.7700286
281,-1193.736123,-846.6835222,-455.0574025,-588.333132
282,-1049.657382,-819.139858,-456.7927846,-576.0263923
283,-1044.407604,-812.9532859,-443.5668852,-567.0246346
284,-1028.552723,-812.9517804,-465.5641987,-599.8380806
285,-1043.373355,-820.7263429,-440.2554981,-581.8382404
286,-1044.219373,-826.2304339,-467.650758,-581.8382407
287,-1037.219397,-818.2304504,-451.6660726,-1063.750054
288,-1073.71849,-467.2493921,-467.6898265,-1060.871584
