Train,Test
-804.9358779,-22.45457067
-795.1891346,-22.45457067
-1201.999943,-22.45457067
-1208.537331,-22.45457067
-1182.864303,-22.45457067
-785.723626,-22.45457067
-428.0431116,-22.45457067
-425.0223868,-22.45457067
-427.9452279,-22.45457067
-423.4452279,-22.45457067
-382.9190909,-22.45457067
-375.9050647,-22.45457067
-1177.333462,-22.45457067
-2464.069489,-22.45457067
-2462.578216,-22.45457067
-395.9644082,-22.45457067
-345.9729082,-22.45457067
-378.5775165,-22.45457067
-380.0789639,-22.45457067
-505.2752241,-22.45457067
-483.8668342,-22.45457067
-704.4710968,-22.45457067
-692.9659418,-22.45457067
-691.9685187,-22.45457067
-752.4862961,-22.45457067
-812.113601,-22.45457067
-779.5495449,-22.45457067
-387.211585,-22.45457067
-750.138081,-22.45457067
-1125.226952,-22.45457067
-2363.885947,-22.45457067
-2362.386363,-22.45457067
-2370.171382,-22.45457067
-2324.692924,-22.45457067
-2325.16349,-22.45457067
-2305.594273,-22.45457067
-2322.748065,-22.45457067
-2320.642223,-22.45457067
-1939.072721,-22.45457067
-1992.509712,-22.45457067
-1983.271089,-22.45457067
-1682.689249,-22.45457067
-2464.798643,-22.45457067
-2461.804087,-22.45457067
-2470.125383,-22.45457067
-2464.144989,-22.45457067
-1123.260162,-22.45457067
-2098.575035,-22.45457067
-1669.321863,-22.45457067
-1718.322309,-22.45457067
-1667.821977,-22.45457067
-1665.303469,-22.45457067
-1696.772145,-22.45457067
-1695.469114,-22.45457067
-2115.889541,-22.45457067
-2160.451493,-22.45457067
-2166.007229,-22.45457067
-1622.067508,-22.45457067
-1675.269355,-22.45457067
-1725.769943,-22.45457067
-1698.706974,-22.45457067
-1691.71292,-22.45457067
-1729.281451,-22.45457067
-1721.781451,-22.45457067
-2093.497836,-22.45457067
-2136.025603,-22.45457067
-1846.993641,-22.45457067
-2110.560673,-22.45457067
-1695.578061,-22.45457067
-1467.795833,-22.45457067
-1460.795833,-22.45457067
-1460.795833,-22.45457067
-1460.795833,-22.45457067
-1446.245548,-22.45457067
-1584.688196,-22.45457067
-1708.466089,-22.45457067
-1744.101006,-22.45457067
-1726.444599,-22.45457067
-1704.98776,-22.45457067
-1422.713901,-22.45457067
-1684.816447,-22.45457067
-1983.784902,-22.45457067
-2035.929096,-22.45457067
-2024.594575,-22.45457067
-1755.341418,-22.45457067
-724.9507776,-22.45457067
-876.3251377,-22.45457067
-1179.763242,-22.45457067
-1276.256613,-22.45457067
-1286.729749,-22.45457067
-1623.5425,-22.45457067
-1615.5425,-22.45457067
-1175.401104,-22.45457067
-1132.312727,-22.45457067
-1994.601501,-22.45457067
-1758.874926,-22.45457067
-1810.378826,-22.45457067
-1825.033408,-22.45457067
-1470.683141,-22.45457067
-1460.683141,-22.45457067
-1699.420789,-22.45457067
-2097.403524,-22.45457067
-2039.467481,-22.45457067
-2532.208405,-22.45457067
-2604.696783,-22.45457067
-2782.671752,-22.45457067
-2788.784615,-22.45457067
-2785.388223,-22.45457067
-2779.400981,-22.45457067
-2780.043441,-22.45457067
-2593.687761,-22.45457067
-2415.669492,-22.45457067
-2373.14774,-22.45457067
-1978.459514,-22.45457067
-1974.440473,-22.45457067
-1974.422346,-22.45457067
-767.8605511,-22.45457067
-811.2932451,-22.45457067
-874.4563719,-22.45457067
-862.9563719,-22.45457067
-869.4035173,-22.45457067
-510.0411505,-22.45457067
-123.0177449,-22.45457067
-777.9810296,-22.45457067
-777.4515357,-22.45457067
-820.1053188,-22.45457067
-821.1583212,-22.45457067
-2472.967759,-22.45457067
-2462.979387,-22.45457067
-2468.556,-22.45457067
-404.2384026,-22.45457067
-308.1109791,-22.45457067
-153.0265182,-22.45457067
-538.059884,-22.45457067
-904.4003502,-22.45457067
-1169.386382,-22.45457067
-1162.026462,-22.45457067
-1116.540029,-22.45457067
