Steps,g_0.98,g_0.99,g_0.995,g_0.999
392,-1177.440263,-1038.641079,-723.1378152,-1162.316329
393,-1176.823609,-1052.18791,-738.4503161,-1155.254176
394,-1163.823626,-904.5308219,-754.464085,-647.0209628
395,-1187.789741,-902.5790004,-646.1420522,-631.3019828
396,-1193.921154,-883.7515843,-645.7002268,-600.9660022
397,-1192.542652,-887.1720052,-609.7507805,-596.1462872
398,-1199.159765,-1018.822058,-432.4384766,-112.9898094
399,-203.1740162,-1164.233065,-449.3672242,-108.9913083
400,-195.0269081,-1049.908118,-437.2646158,-112.8545364
401,-211.8642817,-1028.716922,-314.730668,-110.9185282
402,-863.2988104,-1049.647066,-395.3766551,-103.776308
403,-855.4653151,-1052.790583,-400.3822639,-88.77629143
404,-871.5956297,-663.8101613,-1179.317631,-282.1501174
405,-886.0687609,-824.8184838,-1160.883901,-309.4809411
406,-480.4932363,-655.8836564,-1168.31782,-323.5128234
407,-491.2179518,-642.6243827,-1161.317856,-338.6049362
408,-512.1487088,-809.0287204,-1178.743909,-342.4271341
409,-518.7227246,-782.0136975,-1161.94605,-509.8931282
410,-492.7227543,-764.72203,-1153.081084,-223.7860855
411,-519.4512536,-757.2269849,-1183.567409,-221.7539796
412,-504.6802582,-569.5106597,-1032.608948,-236.3002363
413,-495.6182315,-572.2921177,-1022.769606,-392.167553
414,-502.7927612,-605.8638652,-603.7399754,-762.8457949
415,-495.9179106,-578.7029152,-591.4948878,-373.1672601
416,-479.8609194,-583.1591642,-617.8208587,-369.1675582
417,-513.7752192,-725.6345898,-595.5811479,-372.2305735
418,-493.508607,-736.1310989,-609.760327,-508.9258483
419,-366.1605975,-723.3604812,-606.9752882,-941.7661118
420,-241.957764,-300.924499,-545.2703315,-928.6625663
421,-235.9550697,-290.8680788,-573.3541892,-927.0913789
422,-263.752836,-287.5642364,-573.9538963,-908.0915428
423,-270.060562,-452.7878029,-546.6711164,-1021.697288
424,-111.4193814,-424.7874454,-398.1978896,-1002.50679
425,-726.1058283,-414.8500159,-274.0565827,-1013.513054
426,-613.308484,-542.658565,-291.9518703,-1006.196256
427,-615.549525,-535.6588423,-249.2287816,-854.9418976
428,-730.0396344,-403.9266159,-266.5021205,-848.1942595
429,-726.7877395,-401.3508522,-260.610404,-402.8501732
430,-726.8967829,-433.2046225,-408.9395132,-399.9862156
431,-706.8964364,-419.4346284,-399.4641664,-405.4936954
432,-709.8974125,-419.433263,-403.5569928,-417.5559286
433,-710.7942452,-582.2312692,-397.5564775,-408.6221162
434,-708.7936074,-626.7376222,-422.7892293,-281.1893321
435,-706.7935593,-627.8454228,-435.4569194,-255.2588923
436,-711.9231092,-623.8454826,-289.8866206,-248.9518334
437,-708.4326697,-648.4879464,-271.7026862,-239.7518362
438,-711.3031908,-509.9248277,-414.3474763,-108.8368519
439,-574.8817558,-828.9053354,-446.8596706,-94.48907606
440,-561.8796225,-515.9239341,-431.7767988,-119.1527875
441,-559.8994133,-387.117557,-566.8871841,-111.1507495
442,-563.9005964,-396.3851265,-431.7806071,-267.557758
443,-752.6224836,-250.0586333,-1054.281403,-1020.679777
444,-791.4906141,-242.3926471,-1048.367129,-1163.814112
445,-769.8742979,-238.3121687,-1041.877573,-156.4696124
446,-761.7308111,-234.3117465,-1055.843586,-318.0215601
447,-760.8497652,-408.8818224,-1051.07325,-153.7458912
448,-754.8499146,-290.0510534,-1052.261713,-311.4823328
449,-392.8856312,-318.445945,-1046.173665,-280.4724625
450,-288.6870572,-302.4459234,-1041.588335,-145.7002618
451,-1137.931782,-511.7845236,-1041.586709,-161.8769862
452,-1086.722863,-472.5938151,-1084.005694,-136.1381047
453,-1059.813074,-440.6140658,-1192.808656,-287.4815338
454,-1065.549643,-440.6140893,-1178.808756,-295.6994656
455,-919.5473252,-428.768759,-1178.565921,-460.6513681
456,-892.8911093,-424.3187627,-1185.736384,-554.7289522
457,-887.6049424,-413.8922584,-1197.910795,-350.0954847
458,-874.6050363,-275.2538081,-1182.504085,-502.1738107
459,-608.6567366,-275.1083507,-1189.191078,-487.171721
460,-608.2264271,-415.8772847,-1186.119921,-491.1731343
461,-603.2262632,-399.0720215,-1194.823261,-378.5979913
462,-612.7864795,-638.9681555,-1196.105126,-427.3560145
463,-345.9986861,-667.0477381,-1192.230598,-403.3559698
