TImeStep,g_0.98,g_0.99,g_0.995,g_0.999
394,-584.1751495,-1139.307256,-447.4540298,-1067.13101
395,-1178.334902,-1130.687273,-474.4895131,-1046.998639
396,-1015.847697,-1135.794554,-438.836878,-1069.633767
397,-1027.077969,-441.3227494,-436.9362229,-1043.632773
398,-903.8992085,-434.6438937,-432.9362132,-309.6691799
399,-889.5222731,-460.0890521,-431.2216762,-290.6448997
400,-1005.010787,-435.0898899,-1105.394121,-260.9812567
401,-1024.212034,-437.0357711,-1102.395205,-926.6540429
402,-1193.124841,-325.217919,-1117.31517,-758.8056363
403,-1175.124452,-313.0163516,-946.0917248,-775.2599355
404,-1176.161157,-327.096704,-927.1373876,-754.1660899
405,-1167.937827,-335.4790658,-929.8492494,-773.5735194
406,-1178.096335,-332.1106225,-786.1898456,-772.188912
407,-1016.968377,-316.8714856,-442.5845614,-927.1727162
408,-1085.607626,-325.8309802,-459.409135,-934.3350302
409,-1067.985096,-1036.803843,-606.8337176,-913.3943811
410,-1067.872544,-1154.511972,-441.4099623,-911.8202305
411,-1077.147685,-1131.48796,-420.4917355,-928.2150218
412,-1058.219638,-1009.510819,-1175.877681,-909.0306119
413,-1193.858414,-1014.247749,-1169.066695,-756.0495749
414,-1181.708933,-845.995657,-1160.024824,-613.0192899
415,-1194.059181,-849.6827593,-1164.266441,-776.375211
416,-1177.354966,-842.9993094,-1164.95925,-759.8376667
417,-1044.310022,-964.6810008,-1181.305547,-760.4364633
418,-918.5164084,-1115.393521,-1190.864838,-628.5115175
419,-890.5437477,-1116.980349,-1176.971224,-602.5125188
420,-892.6239143,-1126.371126,-697.6821675,-493.9437717
421,-440.4277836,-1111.370982,-823.4057119,-466.9471365
422,-433.4262126,-1111.370982,-814.4059318,-466.9471578
423,-330.6432881,-976.5088289,-694.5084554,-327.8541762
424,-314.6276945,-873.1332063,-679.3368058,-251.4651527
425,-478.4238077,-876.7879545,-673.3637635,-498.8937284
426,-452.4646348,-438.7666516,-709.8434219,-489.8977714
427,-538.368695,-617.176901,-688.8428916,-526.3799163
428,-535.6522183,-589.0301539,-716.6283303,-387.2121094
429,-404.6187458,-583.0487341,-704.5190003,-386.4375359
430,-419.1272106,-485.5515472,-697.2153425,-387.9164393
431,-409.3579123,-452.4236251,-629.9394605,-391.4145569
432,-409.6001386,-572.6207885,-461.3440626,-534.9410394
433,-1197.638152,-547.3188866,-498.5886271,-520.9953306
434,-1194.228358,-720.8552017,-471.5894167,-521.4437984
435,-1179.497217,-695.5485644,-471.5894245,-517.6355018
436,-1183.369259,-723.2819588,-465.6494783,-504.6365869
437,-1196.066283,-588.1119457,-912.9285178,-539.2997271
438,-1195.998529,-573.1707266,-905.4561908,-517.7607172
439,-1182.998522,-570.9271544,-925.226343,-414.0842522
440,-1190.394464,-570.9570663,-900.2628385,-379.6571251
441,-1192.125933,-570.95709,-898.773121,-245.9480352
442,-1192.394495,-570.9570901,-293.7691856,-492.8908473
443,-1194.656715,-748.1589494,-288.2688238,-489.8916052
444,-1180.656611,-735.3480256,-273.6735528,-651.1752327
445,-1165.664513,-728.3503462,-252.6725994,-504.1105922
446,-1167.825776,-751.6937422,-236.6974663,-494.1095579
447,-1170.046038,-813.4784908,-238.8366735,-498.3559119
448,-1212.5599,-798.8920435,-107.8654653,-627.8220759
449,-195.5247595,-776.0178523,-242.4883448,-777.3463122
450,-297.2155393,-796.3838057,-104.6635743,-647.9368618
451,-414.6204174,-775.1245497,-98.65905883,-784.6782729
452,-408.6202903,-749.0030741,-257.133566,-797.3019216
453,-416.7350768,-277.594418,-389.1749884,-942.8057079
454,-1190.750894,-265.4646122,-255.7222002,-919.5051229
455,-1176.750981,-293.0054397,-241.7231311,-905.4806858
456,-1179.87685,-274.0055527,-248.4904693,-926.3766357
457,-1175.667744,-423.8134902,-1133.999693,-917.9599081
458,-1182.484247,-933.9123161,-1182.213079,-914.0166252
459,-1175.484308,-945.6666856,-1175.538868,-797.0255479
460,-1174.388984,-266.7876933,-1160.538934,-694.8119518
461,-1174.389961,-142.5539016,-1171.263523,-847.8700819
462,-1178.019755,-128.6600572,-1164.361229,-878.8070782
463,-272.145254,-153.2013863,-1160.361199,-860.9675164
464,-118.0539497,-300.8333797,-1058.910951,-815.0541805
465,-115.9509801,-282.5948009,-1037.885908,-968.8161964
